上市公司代码()_ComCd,最新公司全称_LComNm,最新公司英文名称_LComNm_eng,A股股票简称_A_LStkNm,A股股票代码_A_StkCd,主营业务_MainBusiness,证监会行业门类名称_CsrcIcNm1,省份与直辖市名称_Prov
C600363,江西联创光电科技股份有限公司,"Jiangxi Lianchuang Optoelectronic Science And Technology Co., ltd",联创光电,600363,"经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品除外）；经营进料加工和""三来一补""业务；光电子元器件、半导体照明光源及控制系统、LED 显示屏、光电通信线缆、电力电缆、继电器、通信终端与信息系统设备、其它电子产品、计算机的生产、销售；光电显示及控制系统的设计与安装，合同能源管理、系统节能工程、节能服务、太阳能及风力发电设备、网络及工业自动化工程及安装、亮化工程、智能建筑、安防监控系统工程，计算机应用服务",制造业,江西
C600365,通化葡萄酒股份有限公司,"Tonghua Grape Wine Co.,Ltd.",通葡股份,600365,葡萄酒制造和销售；土特产品收购、加工；物资运输。,制造业,吉林省
C600366,宁波韵升股份有限公司,"Ningbo Yunsheng  Co., ltd.",宁波韵升,600366,一般经营项目：磁性材料、汽车电机、伺服电动机及其驱动系统、机器人、无损检测仪器仪表、汽车配件、模具的制造、技术咨询；自营和代理各类货物和技术的进出口，但国家限定经营或禁止进出口的货物和技术除外；机电产品的批发、零售；普通货物的仓储。（上述经营范围不含国家法律法规规定禁止、限制和许可经营的项目。）,制造业,浙江
C600367,贵州红星发展股份有限公司,Guizhou Redstar Developing Company Limited,红星发展,600367,无机化工产品、精细化工产品的生产、销售（化学危险品仅限于碳酸钡、氢氧化钡、氯化钡、硫磺、硫脲）。,制造业,贵州
C600368,广西五洲交通股份有限公司,"Guangxi Wuzhou Communications Co.,Ltd.",五洲交通,600368,经营收费公路、桥梁；对公路、桥梁、站场、港口、码头等交通基础设施投资、经营；房地产开发；建材、建筑设备、施工机械设备、五金交电、百货购销。,交通运输、仓储业,广西
C600369,西南证券股份有限公司,"Southwest Securities Co., ltd.",西南证券,600369,（一）证券经纪；（二）证券投资咨询；（三）与证券交易、证券投资活动有关的财务顾问；（四）证券承销与保荐；（五）证券自营；（六）证券资产管理；（七）证券投资基金代销；（八）融资融券；（九）代销金融产品；（十）为期货公司提供中间介绍业务。,金融、保险业,重庆
C600370,江苏三房巷实业股份有限公司,"Jiangsu Sanfangxiang Industry Co.,Ltd.",三房巷,600370,"化纤原料及制品、棉制品、印染布、涤棉布、色织布。服装生产与销售；布匹染整、印花；经营本企业自产产品及技术的出口业务；经营本企业生产、科研所需的原辅材料、仪器仪表、零配件及技术的进出口业务(国家限定公司经营和国家禁止进出口的商品及技术除外),经营进料加工和‘三来一补’业务；技术咨询；实业投资；电力生产；蒸汽。",制造业,江苏
C600371,万向德农股份有限公司,"Wanxiang Doneed Co. , ltd.",万向德农,600371,专门经营不再分装的包装种子；化肥零售；农产品、化工产品（不含危险品）的销售；农业机械，汽车（不含小轿车）及配件，建筑材料，装饰材料的销售；畜牧业及畜产品加工；农业技术开发；计算机服务；企业管理服务；货物或技术进出口业务。,农、林、牧、渔业,黑龙江
C600372,中航机载电子股份有限公司,"China Avic Electronics Co.,Ltd.",中航电子,600372,航空、航天、舰船、兵器等领域的机械电子、航空电子、自动控制、惯性导航、电子信息、雷达与火控系统、电子对抗、空中交通管制、飞参、综合照明、仪器仪表、基础元器件等产品的研发、生产和销售（在京外其他地区依法开展生产）；民用领域的通信网络、电子信息、集成电路、智慧城市与物联网、工业自动化、工业安全、轨道交通、节能环保与新能源电子、智能装备、传感器、特种电机、纺织机械、光学仪器等的设计、制造和销售（在京外其他地区依法开展生产）；经营范围内相关系统产品的进出口业务（以上项目国家有专项规定的除外）。,制造业,北京
C600373,中文天地出版传媒股份有限公司,"Chinese Universe Publishing And Media Co., Ltd.",中文传媒,600373,    国内版图书、电子、期刊批发；文化艺术品经营；各类广告的制作、发布、代理；会议及展览服务；国内外贸易；资产管理与投资；房地产开发与销售；图书、报刊、音像、电子出版物的出版；影视制作与发行；互联网文化产品的制作、经营及其服务；出版物零售；文化经纪；仓储、物流与配送服务（限分支机构经营）；（以上项目国家有专项规定的凭许可证或资质证经营）,传播与文化产业,江西
C600375,华菱星马汽车(集团)股份有限公司,"Hualing Xingma Automobile（Group）Co.,Ltd.",华菱星马,600375,专用汽车（不含小轿车）、汽车配件、建材、建筑机械、金属材料生产、销售；自产AH系列专用改装车出口；本企业生产所需原辅材料、机械设备、仪器仪表及零部件进口；货物运输保险，机动车辆保险；重型汽车、汽车底盘的销售。,制造业,安徽
C600376,北京首都开发股份有限公司,"Beijing Capital Development Co.,Ltd.",首开股份,600376,房地产开发、商品房销售、房屋租凭；建筑工程咨询；室内外装饰装璜；技术开发、技术服务；销售自行开发的产品；购销建筑材料、化工轻工材料、工艺美术品、家具、机械电器设备（汽车除外）、五金交电、纺织品、百货、计算机软硬件、日用杂品；经贸信息咨询；劳务服务。,房地产业,北京
C600377,江苏宁沪高速公路股份有限公司,Jiangsu Expressway Company Limited,宁沪高速,600377,石油制品零售，汽车维修，住宿、餐饮、食品销售，书报刊零售、出租（以上均限批准的分支机构经营）。一般经营项目：高速公路建设和维护管理，按章对通过车辆收费；物资储存；技术咨询；百货、纺织品、日用杂品、五金、交电、化工产品（危险化学品除外）、汽车零配件、摩托车零配件的销售；设备租赁，房屋租赁、场地租赁。,交通运输、仓储业,江苏
C600378,四川天一科技股份有限公司,"Sichuan Tianyi Science ＆ Technology Co.,Ltd.",天科股份,600378,碳一化学技术及催化剂，变压吸附气体分离技术及装置，工业特种阀门，合成芳樟醇、维生素E系列精细化工品（不含药品），工业气体的研制、开发、生产、销售、技术服务及相关的工程设计和承包，气瓶检验，工程咨询。,制造业,四川
C600379,陕西宝光真空电器股份有限公司,"Shaanxi Baoguang Vacuum Electronic Apparatus Co.,Ltd.",宝光股份,600379,"    高、中、低压真空电力电器，无线电元器件、器材、材料，高新元件、弹性元件的研制、生产、批发、零售及服务；机械加工；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营的国家禁止进出口的商品除外）；经营进料加工和""三来一补""业务。",制造业,陕西
C600380,健康元药业集团股份有限公司,"Joincare Pharmaceutical Group Industry Co.,Ltd",健康元,600380,中成药、化学原料药、化学药制剂、抗生素原料药、抗生素制药、食品、保健食品、化妆品的研发、批发（不含国家保护资源的中药材、中成药秘方产品的研发），进出口及相关配套服务（涉及配额许可证管理、专项规定管理的商品按照国家有关规定办理），普通货运。,制造业,深圳市
C600381,青海贤成矿业股份有限公司,"Qinghai Sunshiny Mining Co.,Ltd",*ST贤成,600381,矿产资源、天然气、水泥、水电、火电资源的投资、开发。,采掘业,青海
C600382,广东明珠集团股份有限公司,"Guangdong Mingzhu Group Co.,Ltd.",广东明珠,600382,实业投资；制造、销售：普通机械、金属制品、汽车零部件、橡胶制品、服装；有色金属、黑色金属冶炼；矿产品（含铁矿石）销售（涉及需取得审批许可的未取得审批许可前不得经营）；信息咨询和计算机技术服务；设备及物业租赁；园林设计；室内装饰及设计；房地产开发（需取得房地产资格证书方可开展经营活动）；产品设计；水电设备安装及维修，货物和技术进出口业务（法律、行政法规禁止的项目除外，法律、行政法规限制的项目须取得许可证后方可经营）；不涉及前置审批许可的商业物资供销业批发和零售。,批发和零售贸易,广东
C600383,金地(集团)股份有限公司,Gemdale Corporation,金地集团,600383,从事房地产开发经营业务；兴办各类实体（具体项目需另报）；经营进出口业务；信息咨询（不含限制项目）。,房地产业,深圳市
C600385,山东金泰集团股份有限公司,"Shandong Jintai Group Co.,Ltd.",*ST金泰,600385,    投资管理，药品的研发与技术转让、技术咨询（不含药品生产），房地产的中介服务，医疗器械的销售（涉及许可经营的凭许可证经营）。,制造业,山东
C600386,北京巴士传媒股份有限公司,"Beijing Bashi Media Co, .ltd",北巴传媒,600386,广告设计、制作、投资、媒体代理发布;出租汽车客运，省际公路客运，轻轨客运；汽车租赁；汽车修理；汽车用清洁燃料的开发、销售及设施改装；公交IC卡及ITS智能交通管理系统的技术开发、技术转让、技术咨询、技术服务；销售开发后产品、机械电器设备、电子计算机及外部设备、汽车(不含小轿车)；代理车辆保险、自制广告业务；餐饮服务；人员培训。,传播与文化产业,北京
